drone_id,latitude,longitude,altitude,speed,battery,packet_sequence,speed_alt_ratio,battery_drain_rate,attack_type,is_anomaly
drone_3,34.058125,-118.242494,100.35,34.82,66.49,11254,0.3436,33.51,DOS,1
drone_2,34.061143,-118.240317,7.64,0.15,1.96,1905,0.0174,98.04,JAMMING,1
drone_1,34.054159,-118.24463,6.88,1.36,3.07,1811,0.1726,96.93,JAMMING,1
drone_4,34.040161,-118.22959,144.08,19.79,61.7,1347,0.1364,38.3,NORMAL,0
drone_3,34.048538,-118.263316,203.56,18.33,71.75,255,0.0896,28.25,NORMAL,0
drone_4,34.053912,-118.237586,6.99,0.89,14.0,1878,0.1114,86.0,JAMMING,1
drone_2,34.068899,-118.226837,246.33,17.79,61.04,282,0.0719,38.96,NORMAL,0
drone_9,34.058488,-118.229345,148.8,15.11,88.57,726,0.1009,11.43,NORMAL,0
drone_9,34.05969,-118.237353,11.06,0.33,1.08,1861,0.0274,98.92,JAMMING,1
drone_8,34.050235,-118.239636,14.0,1.07,12.73,1945,0.0713,87.27,JAMMING,1
drone_1,34.054861,-118.245525,57.5,53.19,59.05,54930,0.9092,40.95,DOS,1
drone_3,34.060068,-118.241312,124.53,17.65,88.29,957,0.1406,11.71,NORMAL,0
drone_2,34.048397,-118.226428,69.87,10.12,81.3,1264,0.1428,18.7,NORMAL,0
drone_2,34.051479,-118.243632,11.85,0.8,8.62,1823,0.0623,91.38,JAMMING,1
drone_8,34.050643,-118.260468,289.4,14.79,86.39,1439,0.0509,13.61,NORMAL,0
drone_6,34.060076,-118.261283,137.06,7.43,84.38,1384,0.0538,15.62,NORMAL,0
drone_1,34.05539,-118.251014,285.24,8.45,97.93,1486,0.0295,2.07,NORMAL,0
drone_3,34.042831,-118.237024,58.63,52.33,67.92,34969,0.8776,32.08,DOS,1
drone_10,34.071363,-118.260202,286.35,24.67,81.8,332,0.0859,18.2,NORMAL,0
drone_1,34.046137,-118.236519,7.56,0.49,9.81,1847,0.0572,90.19,JAMMING,1
drone_7,34.050368,-118.249918,3.53,1.19,9.97,1991,0.2627,90.03,JAMMING,1
drone_7,34.047353,-118.238381,5.75,0.36,9.5,1868,0.0533,90.5,JAMMING,1
drone_6,34.04483,-118.23369,104.22,10.6,72.06,652,0.1007,27.94,NORMAL,0
drone_1,34.049075,-118.224467,232.62,17.9,97.12,1138,0.0766,2.88,NORMAL,0
drone_5,34.059981,-118.236783,235.6,17.48,80.81,107,0.0739,19.19,NORMAL,0
drone_8,34.051004,-118.252836,293.41,8.33,91.3,646,0.0283,8.7,NORMAL,0
drone_3,34.059341,-118.24897,174.92,6.68,69.46,695,0.038,30.54,NORMAL,0
drone_1,34.05526,-118.239927,112.29,51.76,60.86,70240,0.4569,39.14,DOS,1
drone_9,34.060849,-118.24486,13.72,1.74,9.11,1970,0.1182,90.89,JAMMING,1
drone_5,34.064238,-118.259857,102.37,10.35,87.01,1156,0.1001,12.99,NORMAL,0
drone_3,34.047493,-118.259668,97.55,8.81,99.72,140,0.0894,0.28,NORMAL,0
drone_7,34.175615,-118.081535,353.63,112.65,77.0,1653,0.3177,23.0,GPS_SPOOFING,1
drone_5,34.050675,-118.251449,2.62,1.97,5.72,1804,0.5442,94.28,JAMMING,1
drone_6,34.0572,-118.2387,100.0,10.0,75.0,500,0.099,25.0,REPLAY_ATTACK,1
drone_6,34.045858,-118.229874,126.58,7.99,66.42,790,0.0626,33.58,NORMAL,0
drone_5,34.071847,-118.22525,109.83,12.85,92.8,1317,0.1159,7.2,NORMAL,0
drone_3,34.067002,-118.234275,290.08,11.9,90.57,1416,0.0409,9.43,NORMAL,0
drone_3,34.063487,-118.23694,201.51,21.66,88.57,263,0.107,11.43,NORMAL,0
drone_4,34.060961,-118.237214,61.01,48.51,63.76,22877,0.7823,36.24,DOS,1
drone_8,34.039771,-118.229596,108.82,18.71,87.48,114,0.1704,12.52,NORMAL,0
drone_3,34.056246,-118.251058,175.97,19.15,93.55,289,0.1082,6.45,NORMAL,0
drone_1,34.066045,-118.246864,103.55,24.03,89.74,976,0.2298,10.26,NORMAL,0
drone_7,34.036962,-118.261833,62.81,15.41,80.83,1016,0.2415,19.17,NORMAL,0
drone_4,34.061789,-118.259278,237.6,21.03,93.28,711,0.0881,6.72,NORMAL,0
drone_5,34.064805,-118.242544,272.24,16.16,74.23,442,0.0591,25.77,NORMAL,0
drone_8,34.057397,-118.257591,74.1,17.74,68.61,815,0.2362,31.39,NORMAL,0
drone_9,34.037326,-118.237634,113.7,6.08,65.94,661,0.053,34.06,NORMAL,0
drone_9,34.0572,-118.2387,100.0,10.0,75.0,500,0.099,25.0,REPLAY_ATTACK,1
drone_7,34.054951,-118.224865,247.02,21.68,83.2,696,0.0874,16.8,NORMAL,0
drone_9,34.0572,-118.2387,100.0,10.0,75.0,500,0.099,25.0,REPLAY_ATTACK,1
drone_5,34.06559,-118.259901,207.35,15.02,60.45,559,0.0721,39.55,NORMAL,0
drone_1,34.044102,-118.238404,76.31,14.73,87.84,1223,0.1905,12.16,NORMAL,0
drone_5,34.037494,-118.247547,136.53,21.96,68.7,1189,0.1597,31.3,NORMAL,0
drone_3,34.036237,-118.259902,286.54,9.72,94.96,1326,0.0338,5.04,NORMAL,0
drone_7,34.0572,-118.2387,100.0,10.0,75.0,500,0.099,25.0,REPLAY_ATTACK,1
drone_5,34.067711,-118.234365,251.96,20.05,66.04,1427,0.0793,33.96,NORMAL,0
drone_6,34.040175,-118.247555,265.6,5.01,85.23,1403,0.0188,14.77,NORMAL,0
drone_1,34.056785,-118.236608,8.36,0.57,10.62,1759,0.0609,89.38,JAMMING,1
drone_2,34.055688,-118.253836,175.42,48.92,23.91,72471,0.2773,76.09,DOS,1
drone_5,34.0572,-118.2387,100.0,10.0,75.0,500,0.099,25.0,REPLAY_ATTACK,1
drone_5,34.532314,-118.017144,282.0,110.35,54.65,1727,0.3899,45.35,GPS_SPOOFING,1
drone_6,34.040275,-118.237541,124.36,9.51,74.0,138,0.0759,26.0,NORMAL,0
drone_3,34.061392,-118.248074,291.27,18.02,77.96,931,0.0617,22.04,NORMAL,0
drone_2,34.056802,-118.260873,96.24,5.75,64.04,1157,0.0591,35.96,NORMAL,0
drone_7,34.0572,-118.2387,100.0,10.0,75.0,500,0.099,25.0,REPLAY_ATTACK,1
drone_6,34.037977,-118.255998,165.52,22.16,60.96,1383,0.1331,39.04,NORMAL,0
drone_4,34.065435,-118.236353,73.49,40.49,51.36,48189,0.5436,48.64,DOS,1
drone_10,34.0572,-118.2387,100.0,10.0,75.0,500,0.099,25.0,REPLAY_ATTACK,1
drone_1,34.061774,-118.249155,103.75,15.36,73.01,1455,0.1466,26.99,NORMAL,0
drone_2,34.061919,-118.239691,228.31,24.92,76.25,213,0.1087,23.75,NORMAL,0
drone_5,34.060426,-118.235629,85.03,22.68,87.3,897,0.2636,12.7,NORMAL,0
drone_6,34.066854,-118.234041,88.81,6.12,69.14,333,0.0681,30.86,NORMAL,0
drone_1,34.056746,-118.240487,14.48,1.63,12.99,1769,0.1053,87.01,JAMMING,1
drone_5,34.069768,-118.24026,259.78,19.89,79.87,133,0.0763,20.13,NORMAL,0
drone_10,34.058175,-118.242117,3.98,0.23,1.46,1873,0.0462,98.54,JAMMING,1
drone_4,34.320638,-117.854805,327.6,113.26,87.95,1565,0.3447,12.05,GPS_SPOOFING,1
drone_10,34.059076,-118.236694,290.39,11.39,66.3,396,0.0391,33.7,NORMAL,0
drone_5,34.045893,-118.254319,258.28,11.11,67.62,709,0.0428,32.38,NORMAL,0
drone_6,34.047742,-118.236635,11.34,0.53,6.33,1915,0.0429,93.67,JAMMING,1
drone_3,34.050395,-118.230047,107.18,37.34,22.87,78841,0.3452,77.13,DOS,1
drone_8,34.283889,-118.113094,342.95,152.7,87.37,1721,0.444,12.63,GPS_SPOOFING,1
drone_10,34.385842,-117.825,312.9,86.06,55.39,1574,0.2742,44.61,GPS_SPOOFING,1
drone_1,34.0572,-118.2387,100.0,10.0,75.0,500,0.099,25.0,REPLAY_ATTACK,1
drone_2,34.164558,-118.094704,347.82,132.16,69.67,1605,0.3789,30.33,GPS_SPOOFING,1
drone_8,34.06538,-118.234115,215.07,15.17,67.82,557,0.0702,32.18,NORMAL,0
drone_5,34.069839,-118.223794,193.55,12.59,66.84,1283,0.0647,33.16,NORMAL,0
drone_6,34.1975,-117.969263,362.15,121.04,69.46,1730,0.3333,30.54,GPS_SPOOFING,1
drone_8,34.268928,-118.046812,392.67,80.65,48.35,1692,0.2049,51.65,GPS_SPOOFING,1
drone_10,34.059971,-118.241323,154.85,8.55,66.07,91,0.0549,33.93,NORMAL,0
drone_5,34.057958,-118.236571,2.33,1.87,2.0,1780,0.5616,98.0,JAMMING,1
drone_3,34.05981,-118.242474,188.45,19.52,99.74,366,0.103,0.26,NORMAL,0
drone_2,34.494203,-117.787382,389.6,131.19,87.65,1667,0.3359,12.35,GPS_SPOOFING,1
drone_1,34.236384,-117.950961,281.8,124.21,85.11,1590,0.4392,14.89,GPS_SPOOFING,1
drone_2,34.069097,-118.248752,221.04,5.89,74.41,1029,0.0265,25.59,NORMAL,0
drone_2,34.047917,-118.241165,12.86,1.92,6.47,1770,0.1385,93.53,JAMMING,1
drone_1,34.033791,-118.23426,152.48,12.66,62.59,1464,0.0825,37.41,NORMAL,0
drone_3,34.060946,-118.252681,75.98,7.46,89.36,341,0.0969,10.64,NORMAL,0
drone_5,34.06511,-118.256497,231.12,24.95,90.2,1224,0.1075,9.8,NORMAL,0
drone_4,34.064022,-118.248766,146.18,22.57,97.98,1225,0.1533,2.02,NORMAL,0
drone_10,34.05144,-118.236266,0.24,0.23,4.4,1884,0.1855,95.6,JAMMING,1
drone_8,34.071633,-118.261043,230.29,12.08,68.33,786,0.0522,31.67,NORMAL,0
drone_10,34.032205,-118.237895,129.9,20.86,79.84,1288,0.1594,20.16,NORMAL,0
drone_6,34.043146,-118.241043,229.48,10.31,85.82,72,0.0447,14.18,NORMAL,0
drone_4,34.290991,-117.950307,172.61,119.72,86.6,1651,0.6896,13.4,GPS_SPOOFING,1
drone_5,34.05209,-118.239009,90.99,22.98,99.73,327,0.2498,0.27,NORMAL,0
drone_1,34.037315,-118.25702,81.14,10.79,99.41,682,0.1314,0.59,NORMAL,0
drone_2,34.053625,-118.255271,246.22,15.25,65.88,1030,0.0617,34.12,NORMAL,0
drone_8,34.059108,-118.261781,146.32,17.1,78.41,1208,0.1161,21.59,NORMAL,0
drone_6,34.061236,-118.23831,7.9,1.15,5.19,1953,0.1292,94.81,JAMMING,1
drone_9,34.416463,-118.115599,356.94,108.47,46.74,1516,0.303,53.26,GPS_SPOOFING,1
drone_5,34.047933,-118.225104,77.67,14.25,91.15,456,0.1811,8.85,NORMAL,0
drone_8,34.070773,-118.244667,140.19,7.91,84.98,1307,0.056,15.02,NORMAL,0
drone_3,34.061978,-118.260957,281.13,22.51,94.01,245,0.0798,5.99,NORMAL,0
drone_8,34.046268,-118.251136,85.37,42.02,64.69,64665,0.4865,35.31,DOS,1
drone_7,34.040827,-118.259497,271.79,8.19,99.65,1328,0.03,0.35,NORMAL,0
drone_10,34.045717,-118.227025,293.3,8.77,88.05,1082,0.0298,11.95,NORMAL,0
drone_1,34.049533,-118.228078,135.55,15.25,64.75,1260,0.1117,35.25,NORMAL,0
drone_2,34.045877,-118.240313,4.02,1.13,6.25,1944,0.2251,93.75,JAMMING,1
drone_9,34.0572,-118.2387,100.0,10.0,75.0,500,0.099,25.0,REPLAY_ATTACK,1
drone_4,34.047008,-118.262587,254.46,16.39,86.7,1404,0.0642,13.3,NORMAL,0
drone_2,34.0612,-118.226292,149.09,5.14,80.28,1077,0.0342,19.72,NORMAL,0
drone_10,34.052139,-118.260321,295.54,24.12,82.4,1476,0.0813,17.6,NORMAL,0
drone_9,34.051343,-118.2287,259.73,11.72,77.07,194,0.045,22.93,NORMAL,0
drone_2,34.034477,-118.224302,157.35,17.76,91.03,1479,0.1122,8.97,NORMAL,0
drone_1,34.033763,-118.25893,82.87,20.31,97.96,319,0.2422,2.04,NORMAL,0
drone_8,34.436269,-118.012354,359.04,142.61,75.15,1530,0.3961,24.85,GPS_SPOOFING,1
drone_2,34.058288,-118.234157,216.6,10.68,91.09,1346,0.0491,8.91,NORMAL,0
drone_4,34.040304,-118.236629,164.56,31.39,28.77,34864,0.1896,71.23,DOS,1
drone_5,34.047041,-118.250826,14.61,0.78,3.96,1829,0.05,96.04,JAMMING,1
drone_7,34.05401,-118.25111,163.02,19.98,75.54,330,0.1218,24.46,NORMAL,0
drone_6,34.0572,-118.2387,100.0,10.0,75.0,500,0.099,25.0,REPLAY_ATTACK,1
drone_8,34.039855,-118.245119,117.34,7.76,75.59,714,0.0656,24.41,NORMAL,0
drone_3,34.0572,-118.2387,100.0,10.0,75.0,500,0.099,25.0,REPLAY_ATTACK,1
drone_7,34.033097,-118.238069,269.64,11.95,97.03,596,0.0442,2.97,NORMAL,0
drone_7,34.033491,-118.232103,190.74,45.0,63.3,61264,0.2347,36.7,DOS,1
drone_4,34.066413,-118.240434,188.89,14.27,99.41,555,0.0751,0.59,NORMAL,0
drone_2,34.052706,-118.261831,124.64,18.04,84.75,663,0.1436,15.25,NORMAL,0
drone_9,34.040475,-118.246969,50.86,14.18,77.48,770,0.2734,22.52,NORMAL,0
drone_10,34.048048,-118.247517,97.0,21.87,96.47,433,0.2232,3.53,NORMAL,0
drone_7,34.045484,-118.248255,93.57,22.48,70.26,675,0.2377,29.74,NORMAL,0
drone_2,34.046679,-118.229786,82.5,16.47,98.33,1147,0.1972,1.67,NORMAL,0
drone_1,34.05128,-118.246285,273.33,12.4,78.05,742,0.0452,21.95,NORMAL,0
drone_10,34.051199,-118.235801,12.97,0.09,4.87,1870,0.0064,95.13,JAMMING,1
drone_8,34.055523,-118.24475,107.71,24.25,81.26,798,0.2231,18.74,NORMAL,0
drone_2,34.06929,-118.249779,99.55,32.2,68.33,37571,0.3202,31.67,DOS,1
drone_2,34.052185,-118.249125,240.95,12.62,95.6,980,0.0522,4.4,NORMAL,0
drone_8,34.041737,-118.257242,268.28,15.4,88.5,703,0.0572,11.5,NORMAL,0
drone_5,34.03878,-118.246563,133.68,9.45,95.5,685,0.0702,4.5,NORMAL,0
drone_10,34.161018,-118.06194,150.64,139.07,83.58,1521,0.9171,16.42,GPS_SPOOFING,1
drone_9,34.063509,-118.227518,128.76,6.8,85.95,656,0.0524,14.05,NORMAL,0
drone_2,34.057687,-118.23431,71.28,17.39,75.3,626,0.2406,24.7,NORMAL,0
drone_7,34.071035,-118.240111,173.65,38.71,45.42,67386,0.2216,54.58,DOS,1
drone_7,34.055034,-118.248051,152.83,48.36,49.23,59095,0.3144,50.77,DOS,1
drone_7,34.070395,-118.247332,174.64,20.25,60.2,1160,0.1153,39.8,NORMAL,0
drone_4,34.042745,-118.23863,14.01,1.35,1.66,1771,0.0899,98.34,JAMMING,1
drone_2,34.061912,-118.237742,138.24,38.03,66.69,50093,0.2731,33.31,DOS,1
drone_7,34.060359,-118.25087,288.42,23.16,68.07,380,0.08,31.93,NORMAL,0
drone_5,34.056495,-118.262858,191.78,22.34,60.53,1369,0.1159,39.47,NORMAL,0
drone_7,34.049811,-118.242939,5.62,1.54,11.75,1943,0.2326,88.25,JAMMING,1
drone_9,34.050493,-118.23013,193.33,45.01,69.65,62610,0.2316,30.35,DOS,1
drone_4,34.048304,-118.253072,3.01,0.31,11.39,1976,0.0773,88.61,JAMMING,1
drone_7,34.063511,-118.257403,278.24,12.54,75.45,1420,0.0449,24.55,NORMAL,0
drone_9,34.055622,-118.236902,295.54,11.31,71.61,818,0.0381,28.39,NORMAL,0
drone_8,34.0572,-118.2387,100.0,10.0,75.0,500,0.099,25.0,REPLAY_ATTACK,1
drone_5,34.047917,-118.259063,221.15,15.05,76.95,1386,0.0677,23.05,NORMAL,0
drone_5,34.0572,-118.2387,100.0,10.0,75.0,500,0.099,25.0,REPLAY_ATTACK,1
drone_10,34.065635,-118.252942,105.66,56.23,55.51,63924,0.5272,44.49,DOS,1
drone_8,34.03647,-118.240699,244.73,11.43,71.59,438,0.0465,28.41,NORMAL,0
drone_10,34.427864,-117.9319,304.04,111.96,57.73,1569,0.367,42.27,GPS_SPOOFING,1
drone_5,34.05063,-118.256604,107.75,8.22,61.04,853,0.0756,38.96,NORMAL,0
drone_3,34.0572,-118.2387,100.0,10.0,75.0,500,0.099,25.0,REPLAY_ATTACK,1
drone_5,34.045118,-118.251395,122.18,54.88,61.46,82494,0.4455,38.54,DOS,1
drone_8,34.034745,-118.253412,179.95,7.22,87.84,150,0.0399,12.16,NORMAL,0
drone_4,34.052838,-118.227193,139.77,10.82,84.12,443,0.0769,15.88,NORMAL,0
drone_7,34.037252,-118.250739,184.33,10.55,89.87,172,0.0569,10.13,NORMAL,0
drone_4,34.043481,-118.238501,294.04,10.39,75.29,598,0.0352,24.71,NORMAL,0
drone_6,34.036083,-118.236983,97.28,24.68,66.11,544,0.2511,33.89,NORMAL,0
drone_5,34.039417,-118.249067,203.76,21.5,65.95,1392,0.105,34.05,NORMAL,0
drone_9,34.040277,-118.232483,182.43,10.46,77.86,922,0.057,22.14,NORMAL,0
drone_5,34.0572,-118.2387,100.0,10.0,75.0,500,0.099,25.0,REPLAY_ATTACK,1
drone_4,34.06059,-118.249435,204.65,19.79,70.32,276,0.0962,29.68,NORMAL,0
drone_2,34.048071,-118.241843,151.21,16.97,66.61,1349,0.1115,33.39,NORMAL,0
drone_6,34.0572,-118.2387,100.0,10.0,75.0,500,0.099,25.0,REPLAY_ATTACK,1
drone_10,34.06721,-118.22952,137.48,6.4,94.94,141,0.0462,5.06,NORMAL,0
drone_10,34.056954,-118.243593,6.07,1.31,5.73,1805,0.1853,94.27,JAMMING,1
drone_1,34.037539,-118.226945,71.18,8.43,68.83,155,0.1168,31.17,NORMAL,0
drone_2,34.057571,-118.237267,8.98,1.94,14.19,1812,0.1944,85.81,JAMMING,1
drone_8,34.0417,-118.241167,65.8,21.13,97.11,660,0.3163,2.89,NORMAL,0
drone_4,34.044499,-118.246458,298.64,7.03,61.7,115,0.0235,38.3,NORMAL,0
drone_9,34.046435,-118.25648,272.19,12.76,60.57,927,0.0467,39.43,NORMAL,0
drone_9,34.045911,-118.23987,168.75,50.81,53.71,84358,0.2993,46.29,DOS,1
drone_10,34.552023,-117.818615,155.75,97.16,47.7,1614,0.6198,52.3,GPS_SPOOFING,1
drone_10,34.066623,-118.239143,185.86,22.73,68.26,833,0.1216,31.74,NORMAL,0
drone_1,34.038639,-118.260752,85.93,6.81,83.84,51,0.0783,16.16,NORMAL,0
drone_5,34.044761,-118.237256,117.04,8.94,78.42,736,0.0757,21.58,NORMAL,0
drone_1,34.0572,-118.2387,100.0,10.0,75.0,500,0.099,25.0,REPLAY_ATTACK,1
drone_2,34.053555,-118.236426,178.04,14.41,63.63,748,0.0805,36.37,NORMAL,0
drone_10,34.05483,-118.251066,5.06,0.04,8.25,1784,0.0066,91.75,JAMMING,1
drone_1,34.056722,-118.244113,180.76,12.26,89.9,109,0.0675,10.1,NORMAL,0
drone_3,34.0572,-118.2387,100.0,10.0,75.0,500,0.099,25.0,REPLAY_ATTACK,1
drone_10,34.046081,-118.241807,97.33,15.74,88.53,1201,0.1601,11.47,NORMAL,0
drone_1,34.0572,-118.2387,100.0,10.0,75.0,500,0.099,25.0,REPLAY_ATTACK,1
drone_8,34.056435,-118.246,1.24,1.58,6.61,1910,0.7054,93.39,JAMMING,1
drone_9,34.056212,-118.25319,15.0,1.55,8.38,1990,0.0969,91.62,JAMMING,1
drone_7,34.549846,-117.897308,186.09,120.63,59.24,1718,0.6448,40.76,GPS_SPOOFING,1
drone_4,34.03527,-118.262152,53.9,8.61,63.08,499,0.1568,36.92,NORMAL,0
drone_5,34.044233,-118.255167,211.26,24.97,94.82,267,0.1176,5.18,NORMAL,0
drone_8,34.0572,-118.2387,100.0,10.0,75.0,500,0.099,25.0,REPLAY_ATTACK,1
drone_7,34.038241,-118.225621,71.25,36.76,25.4,37706,0.5088,74.6,DOS,1
drone_10,34.236909,-117.992375,385.85,142.63,45.32,1733,0.3687,54.68,GPS_SPOOFING,1
drone_7,34.054949,-118.22622,84.62,40.74,28.74,40508,0.4758,71.26,DOS,1
drone_6,34.062549,-118.248435,240.94,8.39,96.01,876,0.0347,3.99,NORMAL,0
drone_3,34.0572,-118.2387,100.0,10.0,75.0,500,0.099,25.0,REPLAY_ATTACK,1
drone_5,34.03979,-118.239553,64.46,14.84,69.43,1004,0.2267,30.57,NORMAL,0
drone_5,34.049003,-118.25882,189.1,19.2,62.83,112,0.101,37.17,NORMAL,0
drone_4,34.055288,-118.235727,111.29,53.46,43.57,87672,0.4761,56.43,DOS,1
drone_10,34.067799,-118.243791,280.59,24.47,80.85,1380,0.0869,19.15,NORMAL,0
drone_8,34.386568,-117.815485,128.4,143.31,83.13,1539,1.1075,16.87,GPS_SPOOFING,1
drone_3,34.042223,-118.235294,290.63,11.42,68.27,356,0.0392,31.73,NORMAL,0
drone_4,34.0572,-118.2387,100.0,10.0,75.0,500,0.099,25.0,REPLAY_ATTACK,1
drone_8,34.070584,-118.240387,119.49,36.19,20.39,24377,0.3004,79.61,DOS,1
drone_3,34.051426,-118.236372,4.99,1.24,1.13,1890,0.207,98.87,JAMMING,1
drone_2,34.039686,-118.242103,132.07,46.82,47.98,61137,0.3518,52.02,DOS,1
drone_9,34.071494,-118.240508,131.58,41.63,51.96,62305,0.314,48.04,DOS,1
drone_8,34.042577,-118.237376,125.2,43.75,53.41,39780,0.3467,46.59,DOS,1
drone_9,34.058273,-118.246593,10.68,0.8,7.92,1903,0.0685,92.08,JAMMING,1
drone_8,34.034286,-118.243402,166.04,20.96,67.91,1095,0.1255,32.09,NORMAL,0
drone_8,34.408043,-117.89405,380.94,87.38,75.49,1602,0.2288,24.51,GPS_SPOOFING,1
drone_3,34.047912,-118.257262,291.97,19.83,60.01,1354,0.0677,39.99,NORMAL,0
drone_6,34.05152,-118.231083,158.37,16.18,88.01,450,0.1015,11.99,NORMAL,0
drone_4,34.048811,-118.239522,263.05,13.9,76.72,1135,0.0526,23.28,NORMAL,0
drone_2,34.070192,-118.258724,219.67,8.1,70.08,509,0.0367,29.92,NORMAL,0
drone_6,34.038004,-118.24279,278.17,17.26,96.46,463,0.0618,3.54,NORMAL,0
drone_5,34.051328,-118.25285,6.33,1.56,6.37,1772,0.2128,93.63,JAMMING,1
drone_1,34.0572,-118.2387,100.0,10.0,75.0,500,0.099,25.0,REPLAY_ATTACK,1
drone_4,34.051371,-118.252351,8.63,1.2,13.35,1761,0.1246,86.65,JAMMING,1
drone_10,34.0572,-118.2387,100.0,10.0,75.0,500,0.099,25.0,REPLAY_ATTACK,1
drone_3,34.046778,-118.242475,5.59,1.19,12.92,1975,0.1806,87.08,JAMMING,1
drone_3,34.220205,-117.913504,126.0,90.24,52.86,1735,0.7106,47.14,GPS_SPOOFING,1
drone_2,34.04776,-118.254227,230.07,9.16,97.52,156,0.0396,2.48,NORMAL,0
drone_5,34.0572,-118.2387,100.0,10.0,75.0,500,0.099,25.0,REPLAY_ATTACK,1
drone_7,34.045293,-118.248485,8.05,1.15,6.59,1839,0.1271,93.41,JAMMING,1
drone_7,34.315812,-117.915463,200.46,123.55,88.28,1622,0.6133,11.72,GPS_SPOOFING,1
drone_3,34.071322,-118.234002,111.38,42.18,23.53,75159,0.3753,76.47,DOS,1
drone_8,34.278691,-117.810184,138.13,100.15,87.55,1620,0.7198,12.45,GPS_SPOOFING,1
drone_10,34.048996,-118.24299,255.89,13.87,95.5,1314,0.054,4.5,NORMAL,0
drone_7,34.05772,-118.23105,208.11,22.87,93.35,300,0.1094,6.65,NORMAL,0
drone_10,34.051841,-118.231956,51.58,17.22,64.04,1498,0.3275,35.96,NORMAL,0
drone_8,34.069756,-118.228041,124.86,16.77,73.98,546,0.1332,26.02,NORMAL,0
drone_3,34.04457,-118.230415,234.22,5.11,89.42,369,0.0217,10.58,NORMAL,0
drone_10,34.066854,-118.257895,75.74,7.68,66.12,1367,0.1001,33.88,NORMAL,0
drone_3,34.032237,-118.247157,194.66,21.16,66.43,547,0.1081,33.57,NORMAL,0
drone_4,34.054262,-118.258902,238.62,17.18,73.04,807,0.0717,26.96,NORMAL,0
drone_10,34.037403,-118.234892,117.16,6.6,68.01,523,0.0559,31.99,NORMAL,0
drone_5,34.032234,-118.249713,164.68,8.04,71.57,478,0.0485,28.43,NORMAL,0
drone_9,34.064282,-118.239538,140.07,17.89,88.01,294,0.1268,11.99,NORMAL,0
drone_10,34.039968,-118.239978,192.91,22.85,88.27,891,0.1178,11.73,NORMAL,0
drone_8,34.326373,-118.006736,388.62,141.09,55.8,1618,0.3621,44.2,GPS_SPOOFING,1
drone_5,34.054797,-118.237958,5.89,0.38,7.99,1911,0.0552,92.01,JAMMING,1
drone_3,34.067977,-118.242248,199.98,14.29,84.07,137,0.0711,15.93,NORMAL,0
drone_4,34.297317,-118.0255,201.04,98.03,83.93,1732,0.4852,16.07,GPS_SPOOFING,1
drone_1,34.059052,-118.253006,7.64,0.56,8.4,1799,0.0648,91.6,JAMMING,1
drone_9,34.052765,-118.234648,12.18,1.41,2.04,1763,0.107,97.96,JAMMING,1
drone_8,34.065344,-118.246847,185.09,13.9,61.12,349,0.0747,38.88,NORMAL,0
drone_4,34.067655,-118.233579,167.45,24.1,73.25,1426,0.1431,26.75,NORMAL,0
drone_8,34.0572,-118.2387,100.0,10.0,75.0,500,0.099,25.0,REPLAY_ATTACK,1
drone_6,34.048044,-118.232505,163.61,10.14,83.01,185,0.0616,16.99,NORMAL,0
